FID,Street,City,State,County,Zip Code,Assessed_Hurricane,Times_Flooded,In_Flood_Zone,Flood_Zone,GlobalID,Flood_Hazard_Zone,x,y,zone_type,In Zone,Not in Zone
1081,Encore Cir,Myrtle Beach,SC,Horry County,29579,"Matthew, Florence",2,Yes,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,9d2d26d7-c530-48c7-9f52-f9a5c3a3eaed,Yes,-78.96730004,33.70182997,,,
1082,Folly Rd,Myrtle Beach,SC,Horry County,29588,"Joaquin, Matthew, Florence",3,Yes,AE,bd19e994-24e5-4b37-a3fc-08c8d6691ef7,Yes,-78.968486,33.69803997,,,
1083,Folly Rd,Myrtle Beach,SC,Horry County,29588,"Joaquin, Florence",2,Yes,AE,de2cbb67-5441-42e8-9bb3-141221a69f3c,Yes,-78.96876501,33.69813301,,,
1084,Folly Rd,Myrtle Beach,SC,Horry County,29588,"Joaquin, Matthew, Florence",3,Yes,AE,5ec09a36-76a1-4ef1-be0d-3405ce5a15af,Yes,-78.969092,33.69823996,,,
1085,Folly Rd,Myrtle Beach,SC,Horry County,29588,"Joaquin, Matthew, Florence",3,Yes,AE,37111783-9488-4942-a587-10756c35a52f,Yes,-78.96942797,33.69835797,,,
1086,Folly Rd,Myrtle Beach,SC,Horry County,29588,"Joaquin, Matthew, Florence",3,Yes,AE,fca9a97b-7d52-40bd-9c2b-0e2298a542dc,Yes,-78.96974499,33.69846403,,,
1087,Folly Rd,Myrtle Beach,SC,Horry County,29588,"Joaquin, Matthew, Florence",3,Yes,AE,9336d2c9-f1cc-497d-8f0e-b87f7cdf41ac,Yes,-78.97012102,33.69832098,,,
1088,Folly Rd,Myrtle Beach,SC,Horry County,29588,"Joaquin, Matthew, Florence",3,Yes,AE,b4560aa6-11ce-448e-a9a5-27e610caa196,Yes,-78.97032701,33.69839198,,,
1089,Folly Rd,Myrtle Beach,SC,Horry County,29588,"Joaquin, Matthew, Florence",3,Yes,AE,88f6d32c-1ef2-4c67-b30a-14f0939aa966,Yes,-78.97054098,33.69846701,,,
1090,Folly Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,b0b9f726-bbe0-42f7-97ff-87b94ee572e0,Yes,-78.97100398,33.69864496,,,
1091,John Henry Ln,Myrtle Beach,SC,Horry County,29579,"Matthew, Florence",2,Yes,AE,fa868c8a-c79a-4d25-b707-b62b20c585e8,Yes,-78.97471402,33.700975,,,
1092,Folly Rd,Myrtle Beach,SC,Horry County,29588,"Joaquin, Florence",2,Yes,AE,a8dcbe73-eb33-403e-9cff-514f3bfcf490,Yes,-78.975625,33.69980898,,,
1093,Folly Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,4be4f6ac-0beb-4c82-baf8-2558d9bf5422,Yes,-78.97517503,33.69967401,,,
1094,Folly Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,d41551e3-a040-4191-95f7-d669280f1b6d,Yes,-78.97490599,33.699677,,,
1095,Folly Rd,Myrtle Beach,SC,Horry County,29588,"Joaquin, Matthew, Florence",3,Yes,AE,931f7e98-b1c8-408e-bf4a-16a6989d13d0,Yes,-78.97344398,33.699409,,,
1096,Folly Rd,Myrtle Beach,SC,Horry County,29588,"Joaquin, Matthew, Florence",3,Yes,AE,86daa77c-b3fa-41f7-a4dc-922139fbb7ea,Yes,-78.97310199,33.699322,,,
1097,Folly Ranch Ln,Myrtle Beach,SC,Horry County,29588,"Joaquin, Matthew, Florence",3,No,X,0c22611f-9915-4037-b6f2-e2317d701ee7,Yes,-78.97183402,33.69648803,,,
1098,Folly Rd,Myrtle Beach,SC,Horry County,29588,"Joaquin, Florence",2,Yes,AE,3bed6b6e-f7b4-417e-8710-201e48262baf,Yes,-78.97250497,33.69913501,,,
1099,Folly Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,72af39b3-cab1-40da-93df-a8f096bb1df8,Yes,-78.972078,33.69839101,,,
1100,Folly Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,No,X,e03ab2eb-c08c-4fdb-87c9-f3b9f42051db,No,-78.97660003,33.68767498,,,
1101,Folly Rd,Myrtle Beach,SC,Horry County,29588,"Joaquin, Florence",2,Yes,AE,2a299aff-2865-4673-97d8-12a5917127f8,Yes,-78.97590599,33.699782,,,
1102,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,9f501aaf-2b61-4969-8d50-400035e3d821,Yes,-78.97683404,33.69940997,,,
1103,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,08201fbe-0734-4b31-8d51-90cac1a87b5a,Yes,-78.97706203,33.69937903,,,
1104,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,70c49b7a-f27f-47a7-96b6-4f07f5ba183e,Yes,-78.97737698,33.69930504,,,
