Number,Street,City,State,County,Zip,Country,Latitude,Longitude,PIN,Assessed hurricanes (three),Number of assessed hurricanes
1384,Riverside Dr,Conway,SC,Horry County,29526,US,33.828149,-79.009538,36608020007,Florence,1
1895,Riverside Dr,Conway,SC,Horry County,29526,US,33.827764,-79.007067,36608020011,Florence,1
1849,Riverside Dr,Conway,SC,Horry County,29526,US,33.829058,-79.005695,36608020012,Florence,1
1324,Waccamaw Lake Dr,Conway,SC,Horry County,29526,US,33.810451,-79.038282,36700000022,"Joaquin, Matthew, Florence",3
1030,Waccamaw Lake Dr,Conway,SC,Horry County,29526,US,33.810576,-79.038274,36700000023,"Joaquin, Matthew, Florence",3
1100,Riverside Dr,Conway,SC,Horry County,29527,US,33.829775,-79.017961,36704040001,Florence,1
1206,Riverside Dr,Conway,SC,Horry County,29526,US,33.828447,-79.014841,36705020001,"Joaquin, Florence",2
731,E US Hwy 501,Conway,SC,Horry County,29526,US,33.813705,-79.034215,36710040007,Florence,1
767,E Hwy 501,Conway,SC,Horry County,29526,US,33.815084,-79.036144,36714040026,Matthew,1
1016,Brown Dr,Conway,SC,Horry County,29526,US,33.809337,-79.033873,36715030006,Florence,1
1013,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.809459,-79.049793,36716010006,Joaquin,1
5852,Crestwood Dr,Myrtle Beach,SC,Horry County,29588,US,33.688211,-79.036497,36716010008,Matthew,1
1022,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.814843,-79.044614,36716010014,Florence,1
1024,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.814696,-79.044759,36716010015,Florence,1
2221,Buttercup Ln,Conway,SC,Horry County,29526,US,33.865642,-79.048846,36716010016,"Joaquin, Matthew, Florence",3
1034,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.813697,-79.045523,36716010019,Florence,1
1300,US Hwy 501,Conway,SC,Horry County,29526,US,33.842246,-79.060327,36716010023,"Joaquin, Florence",2
1046,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.812942,-79.046813,36716010024,Florence,1
4321,Summit Trl,Myrtle Beach,SC,Horry County,29579,US,33.730541,-78.956456,36716020007,Florence,1
1004,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.816131,-79.041403,36716020009,"Joaquin, Matthew, Florence",3
1007,Waccamaw Lake Dr,Conway,SC,Horry County,29526,US,33.814732,-79.042087,36716020013,Florence,1
1324,Waccamaw Lake Dr,Conway,SC,Horry County,29526,US,33.810451,-79.038282,36716030001,Florence,1
1530,Gilbert Rd,Conway,SC,Horry County,29527,US,33.740766,-79.110187,36716040001,"Joaquin, Florence",2
1052,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.812675,-79.046931,36716040004,Florence,1
904,Hwy 15,Myrtle Beach,SC,Horry County,29577,US,33.690156,-78.904894,36716040008,"Joaquin, Matthew, Florence",3
1063,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.811434,-79.047243,36716040011,Florence,1
100,Elm St,Conway,SC,Horry County,29527,US,33.835503,-79.07495,36800000008,Florence,1
203,Jessamine St,Conway,SC,Horry County,29526,US,33.850087,-79.041152,36804020010,Joaquin,1
1806,New Rd,Conway,SC,Horry County,29526,US,33.826854,-79.059928,36806010001,Florence,1
1808,New Rd,Conway,SC,Horry County,29527,US,33.826778,-79.060637,36806010003,Florence,1
4951,Cates Bay Hwy,Conway,SC,Horry County,29527,US,33.802497,-79.135847,36813030004,"Joaquin, Matthew, Florence",3
1084,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.810106,-79.049708,36813030005,Florence,1
1085,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.809644,-79.04948,36813030010,"Joaquin, Matthew, Florence",3
1092,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.809381,-79.050274,36813030012,"Joaquin, Florence",2
163,Glass Hill Dr,Conway,SC,Horry County,29526,US,33.84404,-79.030494,36813030013,"Joaquin, Matthew, Florence",3
1086,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.809968,-79.049944,36813030014,"Joaquin, Florence",2
1082,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.810333,-79.049494,36813030016,"Joaquin, Matthew, Florence",3
1080,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.810598,-79.049171,36813030017,"Matthew, Florence",2
1094,E Hwy 501,Conway,SC,Horry County,29526,US,33.809722,-79.027531,36813030019,Florence,1
1072,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.81114,-79.048485,36813030020,"Joaquin, Matthew, Florence",3
1609,4th Ave,Conway,SC,Horry County,29526,US,33.831103,-79.057597,36813030023,Florence,1
1060,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.811901,-79.047453,36813030025,"Matthew, Florence",2
5727,Downybrook Rd,Myrtle Beach,SC,Horry County,29588,US,33.673786,-79.009531,36816040025,Matthew,1
3411,Longwood Ln,Conway,SC,Horry County,29527,US,33.812138,-79.077114,36816040026,Matthew,1
4051,Hwy 378,Conway,SC,Horry County,29527,US,33.834479,-79.145332,37001010001,Matthew,1
4525,Old Tram Rd,Conway,SC,Horry County,29527,US,33.81494,-79.160528,37114010002,Matthew,1
5510,Hwy 378,Conway,SC,Horry County,29527,US,33.836004,-79.193391,37203010003,Matthew,1
5470,Hendricks Shortcut Rd,Conway,SC,Horry County,29527,US,33.826107,-79.179709,37205030005,Matthew,1
1292,Hwy 90,Conway,SC,Horry County,29526,US,33.819498,-78.987262,37715030002,Florence,1
3960,Wind Ridge Rd,Conway,SC,Horry County,29526,US,33.886782,-79.002493,37809020003,Matthew,1
2546,Allen Dew Rd,Conway,SC,Horry County,29527,US,33.796784,-79.121343,37905040002,"Matthew, Florence",2
2661,Allen Dew Rd,Conway,SC,Horry County,29527,US,33.799389,-79.125637,37906040001,Matthew,1
2445,Allen Dew Rd,Conway,SC,Horry County,29527,US,33.794647,-79.119089,37912010003,"Matthew, Florence",2
213,Georgia Mae Lp,Conway,SC,Horry County,29527,US,33.791221,-79.113115,38009040004,Matthew,1
370,Pitch Landing Rd,Conway,SC,Horry County,29527,US,33.807387,-79.062766,38100000007,Florence,1
3700,Palmetto Pointe Blvd,Myrtle Beach,SC,Horry County,29588,US,33.678588,-78.971422,38100000008,Florence,1
3498,S Hwy 701,Conway,SC,Horry County,29527,US,33.804883,-79.078838,38101040020,Florence,1
3490,S Hwy 701,Conway,SC,Horry County,29527,US,33.806193,-79.078326,38101040021,Florence,1
3564,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.806332,-79.06812,38102010021,Florence,1
3563,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.806127,-79.067203,38102020001,Florence,1
